seq_index,start_position,end_position
1661,34,41
1661,51,60
1661,88,95
76,13,20
76,30,39
76,67,74
525,34,41
525,51,60
525,88,95
58,34,41
58,51,60
58,88,95
365,34,41
365,51,60
365,88,95
151,34,41
151,51,60
151,88,95
249,34,41
249,51,60
249,88,95
1250,34,41
1250,51,60
1250,88,95
3175,34,41
3175,51,60
3175,88,95
443,34,41
443,51,60
443,88,95
17,34,41
17,51,60
17,88,95
1394,34,41
1394,51,60
1394,88,95
2066,34,41
2066,51,60
2066,88,95
1882,34,41
1882,51,60
1882,88,95
2086,34,41
2086,51,60
2086,88,95
2298,34,41
2298,51,60
2298,88,95
407,34,41
407,51,60
407,88,95
2007,34,41
2007,51,60
2007,88,95
482,34,41
482,51,60
482,88,95
595,34,41
595,51,60
595,88,95
320,34,41
320,51,60
320,88,95
316,34,41
316,51,60
316,88,95
588,34,41
588,51,60
588,88,95
974,34,41
974,51,60
974,88,95
2110,34,41
2110,51,60
2110,88,95
770,34,41
770,51,60
770,88,95
55,13,20
55,30,39
55,67,74
219,34,41
219,51,60
219,88,95
2012,34,41
2012,51,60
2012,88,95
2210,12,19
2210,29,38
2210,66,73
65,34,41
65,51,60
65,88,95
134,34,41
134,51,60
134,88,95
540,34,41
540,51,60
540,88,95
1874,34,41
1874,51,60
1874,88,95
910,34,41
910,51,60
910,88,95
1780,34,41
1780,51,60
1780,88,95
1957,34,41
1957,51,60
1957,88,95
423,34,41
423,51,60
423,88,95
1242,34,41
1242,51,60
1242,88,95
1950,34,41
1950,51,60
1950,88,95
1132,34,41
1132,51,60
1132,88,95
33,34,41
33,51,60
33,88,95
787,34,41
787,51,60
787,88,95
258,34,41
258,51,60
258,88,95
2058,34,41
2058,51,60
2058,88,95
3372,12,19
3372,29,38
3372,66,73
589,34,41
589,51,60
589,88,95
35,34,41
35,51,60
35,88,95
24,34,41
24,51,60
24,88,95
782,34,41
782,51,60
782,88,95
1979,34,41
1979,51,60
1979,88,95
582,34,41
582,51,60
582,88,95
43,13,20
43,30,39
43,67,74
158,34,41
158,51,60
158,88,95
2011,34,41
2011,51,60
2011,88,95
863,34,41
863,51,60
863,88,95
1828,34,41
1828,51,60
1828,88,95
109,34,41
109,51,60
109,88,95
2103,34,41
2103,51,60
2103,88,95
2433,13,20
2433,30,39
2433,67,74
494,34,41
494,51,60
494,88,95
871,34,41
871,51,60
871,88,95
149,34,41
149,51,60
149,88,95
1820,34,41
1820,51,60
1820,88,95
541,34,41
541,51,60
541,88,95
656,34,41
656,51,60
656,88,95
570,34,41
570,51,60
570,88,95
56,34,41
56,51,60
56,88,95
2547,34,41
2547,51,60
2547,88,95
71,34,41
71,51,60
71,88,95
431,34,41
431,51,60
431,88,95
1984,34,41
1984,51,60
1984,88,95
227,34,41
227,51,60
227,88,95
440,34,41
440,51,60
440,88,95
322,34,41
322,51,60
322,88,95
7,34,41
7,51,60
7,88,95
98,34,41
98,51,60
98,88,95
509,34,41
509,51,60
509,88,95
1808,34,41
1808,51,60
1808,88,95
896,34,41
896,51,60
896,88,95
865,34,41
865,51,60
865,88,95
139,34,41
139,51,60
139,88,95
2005,34,41
2005,51,60
2005,88,95
69,34,41
69,51,60
69,88,95
560,34,41
560,51,60
560,88,95
220,13,20
220,30,39
220,67,74
