seq_index,start_position,end_position
1661,35,42
1661,76,83
636,54,61
636,95,102
76,13,20
76,54,61
76,14,21
76,55,62
1573,56,63
1573,97,104
2782,4,11
2782,45,52
2855,13,20
2855,54,61
157,30,37
157,71,78
1971,44,51
1971,85,92
2064,46,53
2064,87,94
2109,54,61
2109,95,102
3007,54,61
3007,95,102
1584,28,35
1584,69,76
1200,35,42
1200,76,83
142,14,21
142,55,62
2760,54,61
2760,95,102
507,54,61
507,95,102
507,55,62
507,96,103
2656,23,30
2656,64,71
2656,54,61
2656,95,102
3567,35,42
3567,76,83
2128,54,61
2128,95,102
3127,54,61
3127,95,102
1245,61,68
1245,102,109
2218,14,21
2218,55,62
1679,13,20
1679,54,61
3518,55,62
3518,96,103
316,14,21
316,55,62
3036,14,21
3036,55,62
1599,14,21
1599,55,62
55,13,20
55,54,61
428,25,32
428,66,73
3459,30,37
3459,71,78
3392,35,42
3392,76,83
2010,54,61
2010,95,102
643,14,21
643,55,62
3578,32,39
3578,73,80
910,35,42
910,76,83
977,61,68
977,102,109
1616,13,20
1616,54,61
3498,14,21
3498,55,62
870,20,27
870,61,68
2125,54,61
2125,95,102
1753,13,20
1753,54,61
1644,14,21
1644,55,62
1077,13,20
1077,54,61
2530,62,69
2530,103,110
984,55,62
984,96,103
2079,62,69
2079,103,110
1832,0,7
1832,41,48
2928,5,12
2928,46,53
3530,14,21
3530,55,62
1643,55,62
1643,96,103
1972,23,30
1972,64,71
1972,54,61
1972,95,102
1395,19,26
1395,60,67
2820,54,61
2820,95,102
982,56,63
982,97,104
3214,2,9
3214,43,50
1701,55,62
1701,96,103
2765,25,32
2765,66,73
1969,54,61
1969,95,102
1969,55,62
1969,96,103
3230,54,61
3230,95,102
43,13,20
43,54,61
43,14,21
43,55,62
1088,2,9
1088,43,50
2011,34,41
2011,75,82
2763,13,20
2763,54,61
519,13,20
519,54,61
519,14,21
519,55,62
3249,34,41
3249,75,82
2141,31,38
2141,72,79
1501,54,61
1501,95,102
2215,54,61
2215,95,102
2215,55,62
2215,96,103
2667,39,46
2667,80,87
3060,55,62
3060,96,103
2916,55,62
2916,96,103
3582,13,20
3582,54,61
2431,25,32
2431,66,73
2576,54,61
2576,95,102
1640,54,61
1640,95,102
2457,13,20
2457,54,61
56,34,41
56,75,82
2362,54,61
2362,95,102
3391,15,22
3391,56,63
711,54,61
711,95,102
3198,55,62
3198,96,103
3367,41,48
3367,82,89
7,34,41
7,75,82
7,35,42
7,76,83
98,35,42
98,76,83
3522,55,62
3522,96,103
2984,14,21
2984,55,62
2273,40,47
2273,81,88
1031,55,62
1031,96,103
1142,13,20
1142,54,61
1142,54,61
1142,95,102
174,31,38
174,72,79
886,13,20
886,54,61
