seq_index,start_position,end_position
1027,31,38
1027,51,60
1027,65,76
1990,31,38
1990,51,60
1990,65,76
1934,31,38
1934,51,60
1934,65,76
50,31,38
50,51,60
50,65,76
1864,31,38
1864,51,60
1864,65,76
178,31,38
178,51,60
178,65,76
607,31,38
607,51,60
607,65,76
521,31,38
521,51,60
521,65,76
2550,31,38
2550,51,60
2550,65,76
26,31,38
26,51,60
26,65,76
1109,31,38
1109,51,60
1109,65,76
633,31,38
633,51,60
633,65,76
599,31,38
599,51,60
599,65,76
1685,31,38
1685,51,60
1685,65,76
22,31,38
22,51,60
22,65,76
183,31,38
183,51,60
183,65,76
528,31,38
528,51,60
528,65,76
253,31,38
253,51,60
253,65,76
168,31,38
168,51,60
168,65,76
844,31,38
844,51,60
844,65,76
1953,31,38
1953,51,60
1953,65,76
763,31,38
763,51,60
763,65,76
621,31,38
621,51,60
621,65,76
1935,10,17
1935,30,39
1935,44,55
523,31,38
523,51,60
523,65,76
694,31,38
694,51,60
694,65,76
1686,9,16
1686,29,38
1686,43,54
