seq_index,start_position,end_position
1057,54,61
1057,82,89
2782,30,37
2782,58,65
1895,16,23
1895,44,51
1341,54,61
1341,82,89
1669,54,61
1669,82,89
211,30,37
211,58,65
2977,36,43
2977,64,71
2555,11,18
2555,39,46
3343,75,82
3343,103,110
2951,55,62
2951,83,90
3036,55,62
3036,83,90
2354,74,81
2354,102,109
796,31,38
796,59,66
1594,30,37
1594,58,65
478,55,62
478,83,90
2032,40,47
2032,68,75
390,54,61
390,82,89
1333,11,18
1333,39,46
927,70,77
927,98,105
1034,54,61
1034,82,89
80,54,61
80,82,89
890,30,37
890,58,65
2976,68,75
2976,96,103
1595,60,67
1595,88,95
787,38,45
787,66,73
2983,74,81
2983,102,109
668,55,62
668,83,90
2693,36,43
2693,64,71
1968,54,61
1968,82,89
1959,9,16
1959,37,44
2543,7,14
2543,35,42
2184,55,62
2184,83,90
3587,30,37
3587,58,65
752,55,62
752,83,90
1944,62,69
1944,90,97
1691,30,37
1691,58,65
2754,65,72
2754,93,100
2343,72,79
2343,100,107
3348,30,37
3348,58,65
3471,12,19
3471,40,47
3471,30,37
3471,58,65
345,56,63
345,84,91
3367,2,9
3367,30,37
1779,9,16
1779,37,44
3435,30,37
3435,58,65
203,4,11
203,32,39
93,54,61
93,82,89
1367,30,37
1367,58,65
