seq_index,start_position,end_position
2701,8,15
2701,45,52
2988,63,70
2988,100,107
859,54,61
859,91,98
157,8,15
157,45,52
3066,31,38
3066,68,75
2940,9,16
2940,46,53
1255,9,16
1255,46,53
3037,55,62
3037,92,99
663,10,17
663,47,54
430,56,63
430,93,100
939,28,35
939,65,72
2955,9,16
2955,46,53
753,54,61
753,91,98
643,8,15
643,45,52
1283,36,43
1283,73,80
518,30,37
518,67,74
889,9,16
889,46,53
2200,54,61
2200,91,98
2961,55,62
2961,92,99
2127,37,44
2127,74,81
2002,23,30
2002,60,67
310,10,17
310,47,54
3517,54,61
3517,91,98
3022,43,50
3022,80,87
1972,55,62
1972,92,99
335,30,37
335,67,74
1256,31,38
1256,68,75
1311,65,72
1311,102,109
2141,56,63
2141,93,100
1959,9,16
1959,46,53
3427,17,24
3427,54,61
3060,54,61
3060,91,98
1585,55,62
1585,92,99
2431,4,11
2431,41,48
3216,55,62
3216,92,99
955,37,44
955,74,81
1307,19,26
1307,56,63
2571,57,64
2571,94,101
1737,54,61
1737,91,98
2971,55,62
2971,92,99
1588,54,61
1588,91,98
1588,55,62
1588,92,99
255,56,63
255,93,100
3435,30,37
3435,67,74
651,31,38
651,68,75
3286,55,62
3286,92,99
93,54,61
93,91,98
1142,8,15
1142,45,52
2624,57,64
2624,94,101
