seq_index,start_position,end_position
1990,2,11
1990,51,60
550,51,60
550,100,109
2731,2,11
2731,51,60
1341,2,11
1341,51,60
2175,2,11
2175,51,60
3627,31,40
3627,80,89
3363,12,21
3363,61,70
2862,2,11
2862,51,60
222,31,40
222,80,89
2489,17,26
2489,66,75
2656,11,20
2656,60,69
3241,2,11
3241,51,60
1731,2,11
1731,51,60
2951,51,60
2951,100,109
3437,31,40
3437,80,89
1563,27,36
1563,76,85
2640,51,60
2640,100,109
590,51,60
590,100,109
2239,2,11
2239,51,60
2323,51,60
2323,100,109
939,51,60
939,100,109
2883,28,37
2883,77,86
2883,51,60
2883,100,109
1158,51,60
1158,100,109
2610,51,60
2610,100,109
1320,23,32
1320,72,81
3533,39,48
3533,88,97
3103,51,60
3103,100,109
1047,31,40
1047,80,89
1775,2,11
1775,51,60
1012,51,60
1012,100,109
1211,51,60
1211,100,109
1996,12,21
1996,61,70
1586,27,36
1586,76,85
2819,20,29
2819,69,78
1721,2,11
1721,51,60
467,51,60
467,100,109
2980,2,11
2980,51,60
236,27,36
236,76,85
676,51,60
676,100,109
589,2,11
589,51,60
2903,52,61
2903,101,110
1933,11,20
1933,60,69
401,51,60
401,100,109
2048,51,60
2048,100,109
2230,51,60
2230,100,109
2714,51,60
2714,100,109
3207,12,21
3207,61,70
2276,51,60
2276,100,109
1883,51,60
1883,100,109
564,2,11
564,51,60
842,34,43
842,83,92
1673,13,22
1673,62,71
2266,19,28
2266,68,77
2459,19,28
2459,68,77
1814,51,60
1814,100,109
2004,2,11
2004,51,60
711,27,36
711,76,85
3135,43,52
3135,92,101
848,2,11
848,51,60
896,2,11
896,51,60
2038,51,60
2038,100,109
