seq_index,start_position,end_position
1027,62,73
1027,91,98
1027,101,108
1394,63,74
1394,92,99
1394,102,109
540,63,74
540,92,99
540,102,109
237,63,74
237,92,99
237,102,109
708,63,74
708,92,99
708,102,109
1242,63,74
1242,92,99
1242,102,109
909,63,74
909,92,99
909,102,109
1793,63,74
1793,92,99
1793,102,109
109,63,74
109,92,99
109,102,109
2734,63,74
2734,92,99
2734,102,109
1794,63,74
1794,92,99
1794,102,109
871,63,74
871,92,99
871,102,109
829,63,74
829,92,99
829,102,109
168,63,74
168,92,99
168,102,109
570,63,74
570,92,99
570,102,109
71,63,74
71,92,99
71,102,109
2174,62,73
2174,91,98
2174,101,108
