seq_index,start_position,end_position
718,7,14
718,45,52
718,89,100
830,7,14
830,45,52
830,89,100
262,7,14
262,45,52
262,89,100
1822,7,14
1822,45,52
1822,89,100
801,7,14
801,45,52
801,89,100
594,7,14
594,45,52
594,89,100
329,7,14
329,45,52
329,89,100
532,7,14
532,45,52
532,89,100
483,7,14
483,45,52
483,89,100
735,7,14
735,45,52
735,89,100
57,7,14
57,45,52
57,89,100
159,7,14
159,45,52
159,89,100
590,7,14
590,45,52
590,89,100
692,7,14
692,45,52
692,89,100
424,7,14
424,45,52
424,89,100
516,7,14
516,45,52
516,89,100
911,7,14
911,45,52
911,89,100
1393,7,14
1393,45,52
1393,89,100
21,8,15
21,46,53
21,90,101
518,7,14
518,45,52
518,89,100
703,7,14
703,45,52
703,89,100
1886,7,14
1886,45,52
1886,89,100
225,7,14
225,45,52
225,89,100
487,7,14
487,45,52
487,89,100
334,7,14
334,45,52
334,89,100
1133,7,14
1133,45,52
1133,89,100
2067,7,14
2067,45,52
2067,89,100
408,7,14
408,45,52
408,89,100
248,7,14
248,45,52
248,89,100
394,7,14
394,45,52
394,89,100
1241,7,14
1241,45,52
1241,89,100
87,7,14
87,45,52
87,89,100
1347,7,14
1347,45,52
1347,89,100
36,7,14
36,45,52
36,89,100
321,7,14
321,45,52
321,89,100
549,7,14
549,45,52
549,89,100
979,7,14
979,45,52
979,89,100
1781,7,14
1781,45,52
1781,89,100
1949,7,14
1949,45,52
1949,89,100
386,7,14
386,45,52
386,89,100
930,7,14
930,45,52
930,89,100
72,7,14
72,45,52
72,89,100
114,7,14
114,45,52
114,89,100
335,7,14
335,45,52
335,89,100
194,7,14
194,45,52
194,89,100
164,7,14
164,45,52
164,89,100
784,7,14
784,45,52
784,89,100
96,7,14
96,45,52
96,89,100
10,7,14
10,45,52
10,89,100
68,7,14
68,45,52
68,89,100
306,7,14
306,45,52
306,89,100
212,7,14
212,45,52
212,89,100
309,7,14
309,45,52
309,89,100
179,7,14
179,45,52
179,89,100
841,7,14
841,45,52
841,89,100
869,7,14
869,45,52
869,89,100
70,7,14
70,45,52
70,89,100
207,7,14
207,45,52
207,89,100
474,7,14
474,45,52
474,89,100
510,7,14
510,45,52
510,89,100
251,7,14
251,45,52
251,89,100
578,7,14
578,45,52
578,89,100
803,7,14
803,45,52
803,89,100
750,7,14
750,45,52
750,89,100
778,7,14
778,45,52
778,89,100
442,7,14
442,45,52
442,89,100
82,7,14
82,45,52
82,89,100
2958,7,14
2958,45,52
2958,89,100
422,7,14
422,45,52
422,89,100
1199,7,14
1199,45,52
1199,89,100
610,7,14
610,45,52
610,89,100
148,7,14
148,45,52
148,89,100
