seq_index,start_position,end_position
2107,19,26
2107,20,27
2107,93,100
2260,47,54
2260,67,74
1174,42,49
1952,47,54
1952,102,109
1952,103,110
718,4,11
718,7,14
718,37,44
718,47,54
718,49,56
718,96,103
718,97,104
1702,19,26
1702,62,69
1702,65,72
1702,66,73
1955,47,54
1027,100,107
1027,101,108
830,4,11
830,6,13
830,7,14
830,49,56
3377,47,54
3377,48,55
3472,40,47
3472,42,49
3472,47,54
3472,88,95
184,36,43
184,37,44
184,38,45
184,41,48
184,61,68
184,63,70
1661,71,78
1661,102,109
419,42,49
419,47,54
1369,6,13
1369,41,48
1369,60,67
3336,34,41
3336,47,54
3336,50,57
1990,102,109
524,5,12
524,8,15
524,38,45
524,49,56
3231,9,16
3231,10,17
637,59,66
3219,102,109
3219,104,111
262,4,11
262,7,14
262,11,18
262,38,45
1265,29,36
1265,32,39
1265,46,53
1265,47,54
1265,48,55
1265,74,81
1265,75,82
1265,76,83
1265,77,84
1265,78,85
1265,79,86
2397,70,77
2397,71,78
2397,89,96
2397,90,97
2397,91,98
241,8,15
241,9,16
241,10,17
241,11,18
241,12,19
241,13,20
241,14,21
241,15,22
1822,4,11
1822,7,14
1822,37,44
1822,47,54
1822,48,55
550,66,73
223,47,54
223,48,55
223,76,83
223,94,101
223,98,105
691,12,19
691,47,54
691,49,56
691,95,102
2359,16,23
636,9,16
636,47,54
2500,88,95
729,1,8
729,4,11
729,47,54
729,49,56
729,87,94
729,88,95
729,89,96
1084,45,52
1084,47,54
1084,48,55
1084,71,78
1084,93,100
2565,77,84
2565,87,94
2565,88,95
2565,104,111
3539,1,8
3539,3,10
3539,69,76
3152,94,101
3152,95,102
2585,28,35
2585,30,37
2585,32,39
801,4,11
801,7,14
801,37,44
801,47,54
801,49,56
801,96,103
2701,47,54
2701,49,56
2701,50,57
3407,9,16
3407,10,17
3407,18,25
3407,19,26
3407,37,44
3407,70,77
3407,71,78
3407,72,79
3407,73,80
3407,75,82
3407,76,83
3407,77,84
3407,82,89
3407,86,93
3407,89,96
3407,91,98
76,26,33
2140,31,38
2140,68,75
2140,69,76
2140,70,77
2140,71,78
2140,72,79
2140,73,80
2140,75,82
2140,100,107
2381,30,37
58,68,75
58,69,76
58,102,109
1668,2,9
1668,6,13
1668,81,88
1668,83,90
365,47,54
365,102,109
3316,47,54
3316,48,55
1624,47,54
1057,0,7
1057,1,8
1057,25,32
1057,26,33
1057,74,81
1057,75,82
115,2,9
1101,25,32
1101,27,34
1101,47,54
1101,48,55
3318,47,54
3318,99,106
3318,103,110
3318,104,111
278,47,54
2745,69,76
3217,0,7
3217,1,8
3217,3,10
3217,25,32
2073,73,80
2073,76,83
859,76,83
859,94,101
859,95,102
1573,77,84
484,37,44
2953,16,23
2953,17,24
3157,22,29
3157,30,37
3157,47,54
3157,48,55
1635,47,54
731,66,73
527,4,11
527,7,14
527,37,44
527,47,54
527,49,56
527,95,102
527,96,103
527,97,104
917,3,10
917,25,32
917,26,33
917,28,35
917,30,37
917,96,103
917,98,105
917,99,106
917,100,107
917,101,108
534,4,11
534,7,14
534,37,44
534,47,54
534,49,56
534,96,103
534,97,104
3569,68,75
3569,69,76
3569,102,109
1895,0,7
1895,1,8
1895,4,11
1895,5,12
1895,47,54
1895,83,90
151,102,109
249,47,54
249,101,108
1341,63,70
447,26,33
447,27,34
2085,47,54
2085,48,55
1768,20,27
1768,47,54
1768,49,56
1768,50,57
1525,20,27
1525,21,28
1525,22,29
1525,36,43
1525,87,94
1525,99,106
1525,103,110
1927,13,20
1927,14,21
1927,15,22
1921,102,109
453,47,54
2175,35,42
2175,47,54
2175,77,84
153,5,12
153,47,54
153,48,55
153,71,78
153,86,93
706,47,54
1503,47,54
1503,48,55
1051,18,25
1051,47,54
2412,67,74
2412,69,76
3586,69,76
3586,70,77
3440,89,96
39,4,11
39,7,14
39,37,44
39,47,54
39,48,55
3627,29,36
3627,30,37
3627,31,38
3627,65,72
3627,93,100
827,47,54
827,102,109
1847,29,36
1847,79,86
1154,69,76
1154,71,78
1154,72,79
1915,4,11
1915,6,13
1915,78,85
594,4,11
594,7,14
594,37,44
594,47,54
594,49,56
594,96,103
594,97,104
1905,47,54
1905,48,55
2950,47,54
2950,49,56
2950,61,68
2950,64,71
2950,65,72
3363,30,37
3363,31,38
3363,47,54
1250,47,54
1250,102,109
2737,36,43
2737,37,44
615,102,109
3121,93,100
3121,94,101
659,1,8
659,4,11
659,47,54
659,49,56
659,95,102
659,96,103
3057,8,15
3057,9,16
3057,10,17
3057,68,75
443,101,108
1496,6,13
1818,26,33
1818,28,35
1818,75,82
1818,76,83
3380,60,67
3380,63,70
3380,70,77
456,8,15
456,9,16
456,10,17
456,47,54
456,48,55
969,67,74
969,68,75
969,69,76
1669,43,50
1669,69,76
1609,47,54
3503,48,55
2865,66,73
2865,103,110
2102,4,11
2102,7,14
2102,47,54
2102,49,56
1677,30,37
117,4,11
117,5,12
117,8,15
117,9,16
117,37,44
117,96,103
117,97,104
161,4,11
161,7,14
161,37,44
161,88,95
493,5,12
493,8,15
493,37,44
493,38,45
493,47,54
493,49,56
493,96,103
3525,0,7
3525,2,9
3525,3,10
3525,14,21
3525,15,22
3525,17,24
3525,18,25
3525,19,26
3525,20,27
3525,22,29
3525,23,30
3525,102,109
1044,68,75
1044,69,76
1044,71,78
2948,47,54
2948,49,56
2733,13,20
2139,84,91
2786,42,49
92,4,11
92,47,54
92,48,55
1273,7,14
1273,8,15
1273,9,16
1273,10,17
1273,11,18
1273,47,54
1273,81,88
1273,82,89
3013,47,54
3066,47,54
3066,49,56
3066,95,102
17,102,109
303,47,54
303,69,76
303,102,109
1156,92,99
3156,47,54
3449,47,54
1611,74,81
884,6,13
884,7,14
2240,12,19
2240,13,20
2240,28,35
2109,47,54
2109,77,84
2109,85,92
2109,86,93
