seq_index,start_position,end_position
2107,12,23
2107,14,25
2107,15,26
2107,85,96
2107,86,97
2107,87,98
2260,98,109
1952,62,73
1952,63,74
1952,64,75
1952,65,76
1952,94,105
1952,95,106
1952,96,107
718,89,100
718,90,101
718,91,102
2349,36,47
2349,59,70
2349,60,71
2349,61,72
2349,62,73
2349,63,74
2349,64,75
2349,65,76
2349,66,77
2349,67,78
2349,68,79
2349,69,80
2349,70,81
2349,71,82
2349,72,83
2349,73,84
1027,62,73
1027,63,74
1027,64,75
1027,65,76
1027,70,81
830,89,100
830,90,101
830,91,102
830,92,103
1437,11,22
1437,37,48
1437,38,49
1437,39,50
1437,78,89
1437,79,90
1437,80,91
1437,81,92
3472,23,34
3472,24,35
3472,25,36
3472,26,37
3472,27,38
3472,28,39
3472,29,40
3472,30,41
3173,31,42
1661,62,73
1661,63,74
1661,64,75
1661,65,76
1661,94,105
1661,95,106
1661,96,107
1990,62,73
1990,63,74
1990,64,75
1990,65,76
524,88,99
524,89,100
524,90,101
524,91,102
524,92,103
524,93,104
3231,20,31
3231,21,32
262,88,99
262,89,100
262,90,101
262,91,102
262,92,103
2397,73,84
2397,75,86
2397,76,87
2397,77,88
2397,78,89
2397,79,90
2397,81,92
1822,88,99
1822,89,100
1822,90,101
1822,91,102
1822,92,103
223,27,38
2359,6,17
2359,7,18
2359,41,52
2359,42,53
2359,43,54
2359,44,55
2359,61,72
2359,62,73
2359,63,74
636,38,49
636,39,50
2565,61,72
2565,62,73
2565,63,74
801,89,100
801,90,101
2701,92,103
2701,95,106
2701,96,107
2701,98,109
2187,44,55
2187,76,87
2187,77,88
2187,78,89
2187,90,101
2187,91,102
2187,92,103
76,74,85
76,75,86
1465,14,25
1465,76,87
525,63,74
525,64,75
525,95,106
58,62,73
58,63,74
58,64,75
58,94,105
58,95,106
58,96,107
365,62,73
365,63,74
365,64,75
365,65,76
365,94,105
365,95,106
365,96,107
1624,8,19
115,59,70
115,60,71
115,61,72
115,62,73
115,63,74
115,64,75
115,65,76
1101,41,52
1101,42,53
1101,43,54
1101,74,85
3318,30,41
3318,31,42
3318,32,43
3318,33,44
78,30,41
2745,18,29
3217,5,16
3217,6,17
3217,7,18
3217,88,99
3217,89,100
1569,33,44
1569,80,91
1569,82,93
1569,83,94
1573,0,11
1573,1,12
1573,2,13
1573,3,14
1573,4,15
1573,5,16
1573,6,17
1573,7,18
1573,9,20
1573,37,48
