seq_index,start_position,end_position
2107,73,80
2260,92,99
1174,16,23
1174,40,47
1174,94,101
1174,97,104
1952,81,88
1952,88,95
718,39,46
718,102,109
1702,33,40
1702,59,66
1702,100,107
1955,1,8
1955,41,48
1955,82,89
1027,31,38
1027,58,65
1027,81,88
1027,88,95
1027,91,98
830,12,19
830,35,42
830,39,46
830,70,77
830,101,108
1437,58,65
3377,19,26
3377,44,51
3377,58,65
3472,13,20
3472,74,81
3173,8,15
3173,16,23
3173,38,45
184,58,65
184,73,80
1661,81,88
1661,88,95
419,27,34
419,34,41
419,37,44
419,44,51
419,58,65
419,86,93
1369,12,19
1369,23,30
1369,39,46
1369,58,65
1369,101,108
3336,14,21
1990,81,88
1990,88,95
524,35,42
524,70,77
524,103,110
3231,59,66
3231,80,87
637,80,87
637,87,94
3219,58,65
3219,76,83
262,79,86
262,102,109
1265,40,47
2397,100,107
241,2,9
241,58,65
241,104,111
1822,12,19
1822,35,42
1822,39,46
1822,69,76
550,36,43
550,58,65
223,60,67
223,87,94
691,103,110
2359,18,25
2359,81,88
636,87,94
2500,7,14
2500,32,39
2500,58,65
2500,98,105
3257,9,16
3257,12,19
729,35,42
729,101,108
1084,16,23
1084,60,67
2565,35,42
3539,58,65
3539,63,70
3539,97,104
3152,101,108
2585,57,64
801,1,8
801,35,42
801,39,46
801,70,77
801,102,109
2988,45,52
2988,102,109
2187,72,79
76,60,67
76,67,74
76,101,108
76,104,111
1465,1,8
1465,21,28
1465,35,42
1465,59,66
2140,58,65
2140,89,96
2381,80,87
525,81,88
525,88,95
58,81,88
58,88,95
3548,20,27
3548,67,74
2449,4,11
2449,17,24
2449,36,43
1668,67,74
1668,85,92
365,42,49
365,81,88
365,88,95
3316,58,65
3316,80,87
1624,4,11
1624,34,41
1057,82,89
1057,89,96
115,81,88
1101,103,110
78,20,27
78,66,73
78,69,76
278,40,47
278,58,65
278,87,94
2745,58,65
2745,78,85
2745,104,111
3217,42,49
2073,20,27
2073,59,66
2073,75,82
2073,78,85
2073,92,99
1569,2,9
1569,14,21
859,33,40
859,45,52
859,83,90
859,101,108
3482,8,15
3482,16,23
3482,39,46
2782,19,26
2782,22,29
2782,58,65
2335,19,26
2335,20,27
484,12,19
484,24,31
484,78,85
2953,58,65
2953,104,111
3157,19,26
3157,24,31
3157,78,85
1635,2,9
1635,39,46
1635,44,51
1635,64,71
1635,78,85
1635,99,106
731,26,33
731,60,67
527,24,31
527,39,46
527,102,109
917,59,66
917,78,85
534,39,46
534,70,77
3569,81,88
3569,88,95
1895,44,51
1895,66,73
1895,69,76
1895,89,96
1895,102,109
151,81,88
151,88,95
3509,57,64
3509,76,83
249,81,88
249,88,95
1341,22,29
1341,82,89
447,20,27
447,58,65
447,91,98
447,102,109
2085,83,90
1768,0,7
1768,8,15
1768,37,44
1768,92,99
1184,13,20
1184,23,30
1184,86,93
1927,7,14
1927,76,83
1927,87,94
1927,103,110
1921,81,88
1921,88,95
453,80,87
453,87,94
2175,21,28
2175,75,82
153,60,67
706,36,43
706,58,65
706,95,102
1503,58,65
1503,67,74
1503,101,108
1806,31,38
