seq_index,start_position,end_position
2260,17,24
2260,82,89
1174,3,10
1174,46,53
1174,56,63
1174,87,94
1952,47,54
718,45,52
718,82,89
1702,13,20
1702,47,54
1955,61,68
2349,19,26
2349,86,93
1027,47,54
1027,100,107
830,45,52
830,82,89
1437,22,29
3377,65,72
3173,100,107
184,36,43
184,88,95
419,4,11
419,92,99
419,97,104
1369,37,44
1369,56,63
1369,104,111
3336,66,73
3336,93,100
1990,47,54
524,45,52
3231,5,12
3231,37,44
3231,74,81
3231,86,93
3231,88,95
637,100,107
3219,10,17
3219,28,35
3219,46,53
3219,100,107
3219,101,108
262,1,8
262,12,19
262,45,52
1265,29,36
1265,60,67
1265,74,81
2397,45,52
241,1,8
241,31,38
241,46,53
1822,45,52
1822,81,88
550,22,29
550,46,53
550,64,71
223,44,51
223,46,53
223,90,97
691,17,24
691,44,51
691,79,86
636,70,77
2500,17,24
3257,47,54
729,12,19
729,45,52
729,85,92
1084,3,10
1084,66,73
2565,28,35
2565,43,50
2565,100,107
3539,41,48
3539,82,89
3152,47,54
2585,17,24
801,12,19
801,45,52
801,82,89
2701,11,18
2701,20,27
2701,30,37
2701,45,52
2701,74,81
2988,48,55
2988,100,107
3407,46,53
3407,66,73
3407,71,78
76,26,33
1465,89,96
2140,66,73
2381,14,21
2381,92,99
525,47,54
525,100,107
58,47,54
2449,46,53
2449,66,73
2449,104,111
1668,79,86
365,47,54
3316,32,39
3316,45,52
3316,69,76
3316,102,109
1624,46,53
1057,65,72
1057,70,77
1057,74,81
115,87,94
1101,23,30
1101,69,76
3318,68,75
78,9,16
78,97,104
278,46,53
278,72,79
2745,103,110
3217,67,74
3217,98,105
2073,73,80
1569,20,27
1569,94,101
859,39,46
859,91,98
1573,73,80
1573,81,88
3482,0,7
3482,27,34
3482,97,104
484,34,41
484,68,75
2953,69,76
3157,27,34
1635,10,17
1635,47,54
1635,81,88
731,12,19
731,29,36
527,45,52
917,16,23
917,25,32
917,39,46
917,47,54
917,94,101
534,12,19
534,45,52
3569,47,54
1895,72,79
1895,79,86
151,47,54
249,47,54
249,67,74
2085,44,51
2085,82,89
2085,103,110
1768,7,14
1768,43,50
1768,95,102
1768,101,108
1525,18,25
1525,36,43
1525,47,54
1525,62,69
1525,75,82
1525,94,101
1184,60,67
1927,13,20
1921,47,54
453,47,54
2175,31,38
2175,47,54
153,1,8
153,15,22
153,36,43
153,44,51
153,66,73
153,84,91
706,42,49
706,46,53
706,79,86
1051,59,66
1806,14,21
1806,46,53
1806,67,74
2340,102,109
3440,88,95
39,45,52
39,82,89
3627,46,53
3627,77,84
3627,92,99
827,56,63
827,87,94
3166,3,10
3166,32,39
3166,60,67
3166,67,74
3166,82,89
1137,28,35
1137,61,68
1847,6,13
1847,47,54
1847,83,90
1847,92,99
1847,101,108
3088,11,18
1154,21,28
1915,31,38
1915,76,83
594,1,8
594,12,19
594,45,52
1905,0,7
1905,44,51
2950,3,10
2203,1,8
2203,6,13
2203,47,54
2203,79,86
2203,90,97
3363,23,30
3363,29,36
936,46,53
2737,9,16
2737,16,23
324,11,18
324,45,52
324,46,53
615,47,54
659,34,41
659,45,52
659,82,89
3057,45,52
1818,24,31
1818,45,52
1818,102,109
2283,41,48
2283,94,101
3380,21,28
3380,40,47
456,71,78
456,83,90
969,87,94
969,102,109
1671,63,70
1671,88,95
157,45,52
157,46,53
157,77,84
157,81,88
3503,20,27
3503,104,111
586,47,54
2865,2,9
2865,28,35
2865,47,54
2865,62,69
2102,12,19
2102,45,52
1677,46,53
1677,68,75
1677,74,81
117,0,7
117,4,11
117,45,52
117,82,89
117,84,91
161,0,7
161,12,19
161,34,41
161,45,52
161,84,91
493,45,52
493,82,89
3525,14,21
3525,19,26
1044,46,53
1044,56,63
1044,65,72
2733,16,23
2733,45,52
2139,1,8
2139,8,15
2139,13,20
2139,29,36
2139,69,76
2786,21,28
2786,39,46
92,27,34
92,43,50
1971,1,8
1971,19,26
1971,47,54
1971,101,108
1273,3,10
1273,30,37
1273,78,85
1273,99,106
3013,35,42
3066,30,37
3066,46,53
3066,68,75
1156,91,98
2438,66,73
3156,47,54
3156,88,95
3156,101,108
3449,4,11
3449,22,29
1611,25,32
1611,70,77
1611,87,94
884,5,12
2240,9,16
2240,61,68
2109,66,73
2109,74,81
2199,24,31
2199,61,68
2199,63,70
806,6,13
3014,2,9
3014,7,14
216,47,54
2862,83,90
1371,96,103
411,67,74
411,69,76
411,88,95
411,98,105
3007,11,18
3007,45,52
1848,47,54
211,47,54
2050,47,54
2050,68,75
2050,73,80
2894,74,81
1584,11,18
1584,33,40
1584,56,63
473,5,12
473,45,52
473,82,89
2747,42,49
2747,56,63
1258,10,17
1258,12,19
1258,43,50
1258,88,95
3573,47,54
1286,5,12
1286,19,26
1286,45,52
1934,47,54
1018,12,19
1018,45,52
222,24,31
222,45,52
1353,65,72
1353,101,108
1817,63,70
1020,35,42
1020,46,53
1020,79,86
2755,1,8
2755,7,14
2755,36,43
2121,47,54
2956,28,35
2489,45,52
2489,47,54
3032,27,34
330,6,13
330,80,87
1200,47,54
2478,81,88
2478,96,103
1312,87,94
50,47,54
79,35,42
79,93,100
1361,96,103
2760,62,69
1325,46,53
507,41,48
507,82,89
1448,11,18
1448,97,104
1448,102,109
2028,45,52
2977,4,11
2977,13,20
2977,15,22
2977,72,79
2977,79,86
329,45,52
329,68,75
329,82,89
329,100,107
1119,12,19
1119,18,25
1119,41,48
283,7,14
1907,47,54
1907,56,63
2408,11,18
2408,19,26
2408,27,34
2408,91,98
2923,17,24
2923,19,26
2923,47,54
2923,97,104
3197,2,9
3197,47,54
3197,95,102
3171,15,22
3171,29,36
3171,62,69
722,18,25
722,61,68
1636,44,51
649,10,17
1394,47,54
2882,61,68
1343,23,30
2560,45,52
2560,67,74
2238,26,33
2238,30,37
2238,40,47
2238,47,54
2656,80,87
366,45,52
366,84,91
2206,46,53
928,28,35
928,74,81
928,81,88
3067,71,78
2681,11,18
2681,47,54
2681,66,73
2681,84,91
2237,65,72
2237,98,105
2379,62,69
2379,71,78
3241,41,48
3241,84,91
3241,90,97
2356,46,53
990,41,48
990,47,54
990,87,94
1864,47,54
455,6,13
455,7,14
455,62,69
2949,43,50
178,47,54
368,45,52
368,83,90
368,103,110
2555,83,90
2555,87,94
2066,47,54
1713,35,42
2918,47,54
2918,78,85
2918,97,104
2016,30,37
2016,37,44
2016,42,49
1493,21,28
1493,98,105
1493,100,107
84,12,19
84,45,52
84,82,89
84,84,91
1845,45,52
3343,40,47
3343,68,75
642,24,31
642,47,54
2262,28,35
2262,47,54
2387,3,10
2387,19,26
2387,31,38
2387,69,76
2387,76,83
3191,16,23
3191,65,72
532,45,52
1397,32,39
1397,46,53
1397,65,72
2018,20,27
2018,35,42
2018,39,46
2018,94,101
743,47,54
3615,13,20
3615,26,33
1882,47,54
1078,37,44
1078,89,96
2619,7,14
2619,9,16
2619,25,32
2619,64,71
2619,73,80
2128,31,38
2128,66,73
2128,74,81
3321,10,17
483,12,19
483,35,42
483,45,52
483,82,89
1505,47,54
1505,95,102
1581,62,69
1581,79,86
2578,101,108
339,32,39
339,45,52
339,95,102
880,12,19
880,45,52
880,82,89
3127,59,66
3015,45,52
3369,10,17
3180,85,92
2111,13,20
2111,101,108
1871,73,80
465,47,54
1408,61,68
2086,47,54
240,46,53
1144,36,43
1144,87,94
3258,3,10
1766,19,26
1766,45,52
1679,21,28
1791,73,80
2926,12,19
2926,19,26
2926,28,35
2926,47,54
2926,97,104
648,45,52
648,66,73
648,84,91
3462,85,92
987,22,29
987,47,54
987,79,86
734,47,54
1565,46,53
1565,81,88
1136,4,11
1136,39,46
13,47,54
1359,77,84
1359,86,93
1564,4,11
1564,19,26
1564,27,34
1564,42,49
1564,65,72
1564,78,85
1564,104,111
1853,47,54
1537,10,17
1537,32,39
1537,93,100
356,13,20
356,46,53
356,86,93
1314,14,21
1314,47,54
1314,95,102
2690,90,97
3120,46,53
3120,77,84
1680,12,19
1680,47,54
1722,46,53
2671,32,39
2671,47,54
607,47,54
2627,3,10
2627,12,19
2627,16,23
122,12,19
122,29,36
122,35,42
122,45,52
304,12,19
304,45,52
573,45,52
596,12,19
596,45,52
596,83,90
719,87,94
1824,2,9
1824,29,36
1824,44,51
1769,7,14
196,45,52
196,86,93
1062,44,51
1062,82,89
1062,89,96
1062,96,103
232,12,19
232,35,42
232,45,52
195,47,54
2852,21,28
2852,33,40
407,18,25
323,45,52
3306,45,52
1150,86,93
1150,88,95
735,12,19
735,45,52
735,82,89
2951,26,33
2951,32,39
2951,45,52
2951,94,101
2934,9,16
2934,32,39
697,12,19
697,45,52
697,82,89
53,26,33
53,38,45
53,79,86
2222,26,33
2222,46,53
3437,46,53
3507,47,54
